Time,10,15,20,35,40,50,60,601,61,101,103,105,107,109,111,113,115,117,119,120,121,123,125,127,129,131,139,141,143,145,147,149,151,153,157,159,161,163,164,166,167,169,171,173,177,179,181,183,184,185,187,189,191,193,195,197,199,201,203,204,205,206,207,208,209,211,213,215,217,219,225,229,231,237,239,241,243,247,249,251,253,255,257,259,261,263,265,267,269,271,273,275,River,Lake,1,2,3,Leak_Node,Leak_Label
0,-0.42715994,28.596186,8.839204,40.61765,3.9928799,7.1628,63.706596,92.18889,92.18889,31.576378,31.261263,36.08279,38.061787,38.18024,41.498657,43.9478,40.526726,41.595123,47.416378,47.287193,49.688587,47.084587,45.54795,31.315916,32.836246,46.54607,37.21041,44.216846,43.511513,45.50316,40.451145,41.332325,37.171913,27.234264,43.29029,44.43186,44.347813,43.903328,43.903328,46.036922,46.381504,46.38173,45.746437,45.739735,41.985394,41.981213,41.99122,41.067974,39.170673,39.34975,40.632793,43.316837,36.90702,39.06983,39.853317,37.519924,43.5398,42.675335,42.04615,37.965862,36.51991,42.339195,39.96271,37.69702,43.061653,40.277676,40.257637,40.198776,40.49751,41.10359,39.886017,39.162613,40.837715,38.128117,38.43298,38.433,38.12808,36.910095,36.910095,33.25589,31.462692,34.222126,41.15693,38.586105,45.72606,45.676407,45.039036,38.161068,44.657417,42.62822,40.482307,39.65989,0.0,0.0,3.9928799,7.1628,8.839199,10,1
3600,27.94054,28.880083,9.099705,41.505184,4.1936955,6.7545085,63.751038,92.48726,92.48726,39.780796,38.684307,41.104107,42.866207,43.858475,45.06322,46.913204,44.09853,44.778435,48.45153,49.06121,50.558964,47.93694,46.30916,31.741745,33.26144,46.96518,37.55915,44.536972,43.795406,45.835194,40.814873,41.712116,37.784546,27.842001,44.316307,45.452686,45.369156,44.91793,44.917927,47.051517,47.355633,47.356083,46.652596,46.64447,42.868435,42.86107,42.878914,41.983887,40.130955,40.375668,41.95064,44.52396,38.924595,41.062897,41.825726,39.96333,44.10735,43.207703,42.576576,39.18093,37.06719,42.62127,40.379696,37.826202,42.92551,40.05253,40.007854,39.891056,40.183815,40.786434,39.570473,38.820377,40.4942,37.788944,38.08157,38.08153,37.77648,36.55684,36.55685,32.899258,31.060772,33.836193,43.887783,41.46115,49.060852,49.12822,46.03557,39.7106,45.75739,43.522118,41.03334,40.182,0.0,0.0,4.1936955,6.7545085,9.099695,10,1
7200,28.45302,29.994019,9.449981,42.41711,4.6202927,6.369141,63.7929,92.769615,92.769615,41.42219,40.37632,42.523853,44.291157,45.55137,46.39041,48.144123,45.3659,45.859543,49.364708,50.024906,51.38012,48.74111,47.061058,32.24266,33.763393,47.472157,38.41123,45.62191,44.909348,46.970997,41.96666,42.868008,38.906452,28.96145,45.246426,46.400326,46.3255,45.87209,45.87209,48.005684,48.298714,48.298985,47.580524,47.57236,43.775326,43.762676,43.79087,42.89713,41.067104,41.31611,42.930206,45.49272,40.005955,42.140144,42.900402,41.12187,45.026615,44.122646,43.491943,40.14672,37.976383,43.359447,41.217453,38.451527,43.354996,40.41601,40.3763,40.307304,40.604996,41.210472,39.993187,38.95555,40.630424,37.882195,38.086155,38.085255,37.78031,36.535545,36.53571,32.852505,30.926796,33.689026,44.9403,42.52628,50.150433,50.243767,46.98309,40.715412,46.7174,44.438625,41.94537,41.08752,0.0,0.0,4.6202927,6.369141,9.449971,10,1
10800,28.560766,30.404993,9.867546,42.803604,5.1562924,6.5322943,63.812477,92.902115,92.902115,41.766785,40.72963,42.900333,44.66953,45.922276,46.775013,48.529484,45.75084,46.24471,49.74997,50.410007,51.764614,49.11767,47.451263,32.650852,34.171608,47.880543,38.820812,46.031677,45.320324,47.380127,42.37454,43.27527,39.305183,29.360228,45.631115,46.78398,46.708313,46.254673,46.254673,48.388268,48.68026,48.680523,47.960693,47.95231,44.163963,44.153217,44.17736,43.285637,41.44061,41.697056,43.31377,45.876686,40.39155,42.525707,43.285904,41.50749,45.35401,44.44231,43.810097,40.529366,38.30301,43.658585,41.529488,38.736042,43.614147,40.666626,40.626556,40.5593,40.857166,41.462746,40.24541,39.178604,40.853523,38.1018,38.294834,38.293827,37.988884,36.74071,36.74089,33.05366,31.110603,33.872353,45.324665,42.910458,50.534588,50.62725,47.364998,41.099564,47.100796,44.823402,42.272053,41.406425,0.0,0.0,5.1562924,6.5322943,9.867532,10,1
14400,29.352877,31.958038,10.281204,44.280384,5.660955,6.7354393,63.877083,93.34135,93.34135,44.294434,43.33011,45.165417,46.93591,48.535465,48.843555,50.48593,47.72767,47.975853,51.15355,52.008137,53.035408,50.362267,48.598736,33.34454,34.866627,48.580467,40.003212,47.543846,46.873367,48.984432,44.011997,44.92266,40.940166,30.990812,47.07232,48.269165,48.21904,47.767895,47.767895,49.901497,50.20087,50.20095,49.471596,49.463764,45.6311,45.609737,45.654316,44.76607,42.98792,43.227634,44.901283,47.43344,42.1702,44.303326,45.057854,43.38045,46.99704,46.094078,45.46295,42.096832,39.955616,45.29157,43.186382,40.34193,45.17302,42.20944,42.18423,42.16364,42.466316,43.074684,41.856052,40.5531,42.229046,39.387894,39.461914,39.459522,39.15468,37.863285,37.86366,34.119736,31.87536,34.624237,47.039055,44.64442,52.308056,52.43951,48.88438,42.73439,48.651386,46.309875,43.921898,43.058777,0.0,0.0,5.66095,6.7354393,10.281186,10,1
18000,28.695066,36.06062,10.454212,42.68086,6.060428,7.2502503,65.79869,65.79835,65.798004,42.19605,41.18498,42.850796,44.615562,46.305378,46.597027,48.33575,45.431458,45.598583,48.663025,49.554443,50.363434,46.77248,46.401134,32.691017,34.213314,47.92624,39.519737,47.18969,48.570717,48.215546,42.970943,43.771294,38.830956,28.877436,44.741325,46.162037,46.26613,45.848843,45.848843,47.982437,48.424015,48.424126,47.788654,47.781174,44.05462,44.05459,44.05485,43.176037,41.360626,41.5929,43.137062,45.673378,40.201447,42.334503,43.08937,41.32893,45.397552,44.502026,43.86981,40.378204,38.37516,43.944782,41.707077,39.14532,44.23702,41.361176,41.339626,41.310295,41.61207,42.219917,41.00153,39.987762,41.663513,38.899082,39.107685,39.106754,38.801895,37.555332,37.555492,33.86757,31.909595,34.66089,44.630848,42.242493,49.927853,50.06268,47.05988,40.88193,46.88872,44.687042,42.337585,41.480083,0.0,0.0,6.060428,7.2502503,10.454212,10,1
21600,28.788939,36.19104,10.397161,42.914276,6.264048,7.5586963,65.8188,65.81847,65.81813,42.495914,41.492943,43.130043,44.89466,46.616226,46.851486,48.585888,45.677067,45.828747,48.82459,49.74313,50.503937,47.0433,46.503098,32.68535,34.20782,47.92116,39.592564,47.317448,48.701134,48.35458,43.116234,43.91897,38.99448,29.040064,44.918434,46.360023,46.477993,46.06349,46.06349,48.19709,48.65006,48.650154,48.020657,48.01331,44.287796,44.287678,44.288174,43.40959,41.602474,41.831097,43.37229,45.904243,40.44503,42.57786,43.332066,41.576744,45.660526,44.767803,44.1358,40.61447,38.639954,44.231213,41.982994,39.443684,44.556065,41.68717,41.66758,41.64225,41.94443,42.55252,41.334026,40.32362,41.999462,39.23226,39.44097,39.440033,39.13518,37.888233,37.88839,34.199646,32.23567,34.98586,44.845665,42.461067,50.15848,50.296284,47.28223,41.11622,47.117638,44.919987,42.60232,41.74685,0.0,0.0,6.264048,7.5586963,10.397156,10,1
25200,28.646948,39.750156,10.496257,42.949112,6.4813976,7.8875737,65.824135,65.82379,65.823456,42.042282,41.027435,42.806763,44.576538,46.178867,46.6561,48.434982,45.502426,45.696957,48.890327,49.721397,50.577816,47.115017,46.58321,32.782482,34.30582,48.017754,40.193222,48.28528,50.87536,49.177395,43.8379,44.598457,39.263927,29.302986,44.971336,46.39743,46.50608,46.090397,46.090397,48.223995,48.672966,48.673115,48.04642,48.038853,44.323383,44.32401,44.323166,43.440132,41.60723,41.840942,43.366413,45.914387,40.367077,42.5005,43.256935,41.46159,45.63456,44.7374,44.10452,40.614136,38.61271,44.21455,41.956116,39.438587,44.571045,41.708965,41.68574,41.64694,41.947742,42.555027,41.3369,40.396347,42.07189,39.32347,39.562775,39.562183,39.257298,38.021072,38.02118,34.34613,32.449875,35.203777,44.749325,42.353516,50.018734,50.14388,47.30606,41.094658,47.132492,44.952374,42.575115,41.716835,0.0,0.0,6.4813976,7.8875737,10.496257,10,1
28800,28.761633,39.909554,10.59254,43.118332,6.5950274,8.042504,65.83393,65.833595,65.83327,42.408703,41.403454,43.12837,44.89685,46.550816,46.926353,48.68597,45.762608,45.935097,49.043915,49.912075,50.71374,47.24697,46.71282,32.89091,34.41436,48.127026,40.33253,48.444542,51.03475,49.3397,44.00078,44.76145,39.42664,29.465742,45.130966,46.564274,46.677223,46.26207,46.26207,48.395668,48.84641,48.84653,48.218376,48.210854,44.49233,44.4925,44.492325,43.61089,41.7869,42.019844,43.55282,46.093872,40.586243,42.71943,43.47485,41.697132,45.81701,44.91895,44.285416,40.797894,38.797215,44.411995,42.14695,39.64352,44.78899,41.931248,41.910576,41.878838,42.180363,42.78807,41.569748,40.61491,42.290607,39.537212,39.77031,39.76964,39.464775,38.226093,38.226208,34.547844,32.635155,35.387108,44.9722,42.581223,50.260254,50.39093,47.479107,41.288357,47.310143,45.122326,42.759502,41.89925,0.0,0.0,6.595023,8.042504,10.59254,10,1
